id,name,therapyArea,category,description,useCaseSummary
P001,MiniMed 780G System,Diabetes,Automated Insulin Delivery System,Insulin pump system that receives real-time glucose data and delivers insulin automatically using SmartGuard technology.,Used for automated insulin delivery and connected diabetes management.
P002,Guardian 4 Sensor,Diabetes,CGM Sensor,Sensor used with Guardian transmitter to monitor glucose levels for diabetes management, supporting continuous use.,Used for glucose monitoring and integration with insulin delivery systems.
P003,Micra Transcatheter Pacing System,Cardiac Rhythm,Leadless Pacemaker,A leadless pacemaker delivered via catheter for cardiac pacing.,Used for minimally invasive cardiac rhythm management.
P004,Evolut PRO+,Structural Heart,TAVR System,Transcatheter aortic valve replacement system used for treating aortic stenosis.,Used in structural heart procedures for valve replacement.
P005,Symplicity Spyral,CRDN,Renal Denervation System,Renal denervation system designed to reduce blood pressure as an adjunct treatment in hypertension.,Used in hypertension intervention and renal denervation discussions.
P006,Hugo Robotic Surgery System,Surgical,Robotic-Assisted Surgery Platform,Robotic-assisted surgery platform designed for minimally invasive procedures.,Used for robotic surgery and digital surgery workflows.
P007,StealthStation S8,Neuroscience,Surgical Navigation System,Image-guided surgical navigation system used in neurosurgical and spinal procedures.,Used for precision surgery and navigation workflows.
P008,Simplera Sync,Diabetes,Disposable CGM Sensor,A disposable, all-in-one continuous glucose monitor that integrates with automated insulin delivery systems.,Used for real-time glucose monitoring with compatible automated insulin pumps.
P009,InPen Smart Insulin Pen System,Diabetes,Smart Insulin Pen,A reusable smart insulin pen that uses Bluetooth technology to track doses and provide dosing recommendations via an app.,Used for multiple daily injection (MDI) therapy tracking and calculators.
P010,Aurora EV-ICD System,Cardiac Rhythm,Extravascular ICD,An extravascular implantable cardioverter-defibrillator that delivers pacing and defibrillation therapy with a lead placed outside the heart and veins.,Used for sudden cardiac arrest prevention without vascular complications.
P011,PulseSelect PFA System,Cardiac Rhythm,Pulsed Field Ablation System,A pulsed field ablation system utilizing non-thermal electrical fields to selectively ablate cardiac tissue for atrial fibrillation treatment.,Used in electrophysiology labs for pulmonary vein isolation.
P012,Affera Mapping and Ablation System,Cardiac Rhythm,Cardiac Mapping and Ablation Platform,An integrated mapping and ablation platform featuring a focal catheter capable of delivering radiofrequency and pulsed field energy.,Used for high-density mapping and multi-energy ablation in cardiac arrhythmias.
P013,LINQ II ICM,Cardiac Rhythm,Insertable Cardiac Monitor,A small, wireless insertable cardiac monitor that continuously records heart rhythms for up to 4.5 years.,Used for long-term remote heart rhythm diagnostic monitoring.
P014,Signia Smart Stapling System,Surgical,Smart Surgical Stapler,A fully powered, smart surgical stapler that measures tissue thickness and adjusts stapling speed automatically.,Used in gastrointestinal and general surgery for consistent staple line formation.
P015,Valleylab FT10 Energy Platform,Surgical,Electrosurgical Generator,A high-frequency electrosurgical generator designed to power advanced vessel sealing and electrosurgical instruments.,Used to deliver precise energy for tissue division and vessel sealing.
