id,title,therapyArea,marketScope,trendType,tags,date,summary,keyInsights,linkedProductIds
A001,AI in Diabetes Care (Mock),Diabetes,General,Digital health trend,"AI; Diabetes",2026-01-14,"AI-supported diabetes management is a growing area of discussion in this mock scenario.","Focus on connected monitoring, insulin automation, and data interpretation.","P001|P002"
A002,Diabetes Device Activity in Asia (Mock),Diabetes,Asia,Market activity trend,"APAC; Diabetes",2026-02-03,"Regional visibility of diabetes technologies is increasing in this mock scenario.","Focus on distribution growth and awareness in APAC.","P001|P002"
A003,Minimally Invasive Cardiac Trends (Mock),Cardiac Rhythm,General,Procedure innovation trend,"Cardiology",2026-02-26,"Cardiac discussions increasingly mention minimally invasive approaches in this mock dataset.","Focus on catheter-based treatments and simplified procedures.","P003"
A004,Robotic Surgery Trends (Mock),Surgical,General,Surgical innovation trend,"Robotics",2026-03-18,"Robotic-assisted surgery appears frequently in this mock dataset.","Focus on workflow digitization and surgical precision.","P006"
A005,Hypertension Innovation (Mock),CRDN,General,Therapy innovation trend,"Hypertension",2026-04-09,"Hypertension treatment discussions include device-based interventions in this mock dataset.","Focus on renal denervation and clinical innovation themes.","P005"
A006,Image-Guided Surgery Trends (Mock),Neuroscience,General,Procedure support trend,"Neuroscience",2026-04-24,"Image-guided and navigation-assisted surgery is highlighted in this mock dataset.","Focus on precision and planning tools in surgery.","P007"
A007,Pulsed Field Ablation Adoption (Mock),Cardiac Rhythm,General,Procedure innovation trend,"Cardiology",2026-05-12,"Pulsed Field Ablation (PFA) is rapidly emerging as a preferred non-thermal option for treating atrial fibrillation in this mock dataset.","Clinicians appreciate the tissue-selective safety profile and speed of PFA compared to traditional cryo or radiofrequency.","P011|P012"
A008,Deep Brain Stimulation Sensing (Mock),Neuroscience,General,Digital health trend,"Neuroscience",2026-05-28,"Deep Brain Stimulation systems with active brain-signal sensing technology are helping personalize therapy in this mock scenario.","Sensing technology like BrainSense enables tracking of patient-specific neural activity while delivering therapy.","P007"
A009,RDN Reimbursement Developments (Mock),CRDN,General,Regulatory trend,"Hypertension",2026-06-02,"National coverage determinations for renal denervation procedures are acting as growth catalysts in this mock market analysis.","Medicare coverage approval provides a pathway for wider clinical adoption of catheter-based hypertension treatments.","P005"
A010,Medtronic Portfolio Overview (Mock),General,Global,Portfolio overview,"General",2026-06-10,"A high-level view of key product portfolios across Cardiovascular, Neuroscience, Medical Surgical, and Diabetes.","Integration of software, AI, and hardware across portfolios is a primary driver of modern MedTech solutions.","P001|P003|P005|P006|P007"
A011,Evolution of Continuous Glucose Monitoring (Mock),Diabetes,General,Digital health trend,"Diabetes",2026-05-19,"The trend toward smaller, disposable, and more discreet CGM sensors is expanding patient access in this mock analysis.","Disposable, all-in-one CGM form factors simplify training and application for patients with diabetes.","P002|P008"
A012,Safety Profile of Extravascular ICDs (Mock),Cardiac Rhythm,General,Procedure innovation trend,"Cardiology",2026-06-05,"Extravascular ICD options provide a novel pacing and defibrillation method with leads outside the heart in this mock dataset.","Placing leads outside the heart and veins avoids vascular injury risks while maintaining effective defibrillation.","P010"
A013,Robotics and AI in Spine Surgery (Mock),Neuroscience,General,Surgical innovation trend,"Neuroscience",2026-05-15,"The integration of robotic guidance and navigation in spine surgeries is driving precision in this mock scenario.","Robotic planning software helps surgeons pre-plan screw placement and execute with high accuracy.","P007"
A014,Connected Operating Room Ecosystem (Mock),Surgical,General,Surgical innovation trend,"Surgery",2026-06-12,"Operating rooms are increasingly adopting integrated digital platforms connecting staplers, generators, and navigation tools.","Smart connected devices in the OR provide real-time feedback and data metrics to optimize surgical workflow.","P006|P014|P015"
